Newark (Departure),Harrison (Departure),JSQ (Departure),Grove St (Departure),Exchange (Departure),WTC (Arrival)
3:15 PM,3:17 PM,3:28 PM,3:32 PM,3:35 PM,3:40 PM
3:30 PM,3:32 PM,3:43 PM,3:47 PM,3:50 PM,3:55 PM
3:45 PM,3:47 PM,3:58 PM,4:02 PM,4:05 PM,4:10 PM
3:56 PM,3:58 PM,4:09 PM,4:13 PM,4:16 PM,4:21 PM
4:06 PM,4:08 PM,4:19 PM,4:23 PM,4:26 PM,4:31 PM
4:11 PM,4:13 PM,4:24 PM,4:28 PM,4:31 PM,4:36 PM
4:16 PM,4:18 PM,4:29 PM,4:33 PM,4:36 PM,4:41 PM
4:21 PM,4:23 PM,4:34 PM,4:38 PM,4:41 PM,4:46 PM
4:26 PM,4:28 PM,4:39 PM,4:43 PM,4:46 PM,4:51 PM
4:31 PM,4:33 PM,4:44 PM,4:48 PM,4:51 PM,4:56 PM
4:36 PM,4:38 PM,4:49 PM,4:53 PM,4:56 PM,5:01 PM
4:41 PM,4:43 PM,4:54 PM,4:58 PM,5:01 PM,5:06 PM
4:46 PM,4:48 PM,4:59 PM,5:03 PM,5:06 PM,5:11 PM
4:51 PM,4:53 PM,5:04 PM,5:08 PM,5:11 PM,5:16 PM
4:56 PM,4:58 PM,5:09 PM,5:13 PM,5:16 PM,5:21 PM
5:01 PM,5:03 PM,5:14 PM,5:18 PM,5:21 PM,5:26 PM
5:06 PM,5:08 PM,5:19 PM,5:23 PM,5:26 PM,5:31 PM
5:11 PM,5:13 PM,5:24 PM,5:28 PM,5:31 PM,5:36 PM
5:16 PM,5:18 PM,5:29 PM,5:33 PM,5:36 PM,5:41 PM
5:21 PM,5:23 PM,5:34 PM,5:38 PM,5:41 PM,5:46 PM
5:26 PM,5:28 PM,5:39 PM,5:43 PM,5:46 PM,5:51 PM
5:31 PM,5:33 PM,5:44 PM,5:48 PM,5:51 PM,5:56 PM
5:36 PM,5:38 PM,5:49 PM,5:53 PM,5:56 PM,6:01 PM
5:41 PM,5:43 PM,5:54 PM,5:58 PM,6:01 PM,6:06 PM
5:46 PM,5:48 PM,5:59 PM,6:03 PM,6:06 PM,6:11 PM
5:51 PM,5:53 PM,6:04 PM,6:08 PM,6:11 PM,6:16 PM
5:56 PM,5:58 PM,6:09 PM,6:13 PM,6:16 PM,6:21 PM
6:01 PM,6:03 PM,6:14 PM,6:18 PM,6:21 PM,6:26 PM
6:06 PM,6:08 PM,6:19 PM,6:23 PM,6:26 PM,6:31 PM
6:11 PM,6:13 PM,6:24 PM,6:28 PM,6:31 PM,6:36 PM
6:16 PM,6:18 PM,6:29 PM,6:33 PM,6:36 PM,6:41 PM
6:21 PM,6:23 PM,6:34 PM,6:38 PM,6:41 PM,6:46 PM
6:26 PM,6:28 PM,6:39 PM,6:43 PM,6:46 PM,6:51 PM
6:31 PM,6:33 PM,6:44 PM,6:48 PM,6:51 PM,6:56 PM
6:36 PM,6:38 PM,6:49 PM,6:53 PM,6:56 PM,7:01 PM
6:41 PM,6:43 PM,6:54 PM,6:58 PM,7:01 PM,7:06 PM
6:46 PM,6:48 PM,6:59 PM,7:03 PM,7:06 PM,7:11 PM
6:51 PM,6:53 PM,7:04 PM,7:08 PM,7:11 PM,7:16 PM
6:56 PM,6:58 PM,7:09 PM,7:13 PM,7:16 PM,7:21 PM
7:01 PM,7:03 PM,7:14 PM,7:18 PM,7:21 PM,7:26 PM
7:06 PM,7:08 PM,7:19 PM,7:23 PM,7:26 PM,7:31 PM
7:11 PM,7:13 PM,7:24 PM,7:28 PM,7:31 PM,7:36 PM
7:16 PM,7:18 PM,7:29 PM,7:33 PM,7:36 PM,7:41 PM
7:26 PM,7:28 PM,7:39 PM,7:43 PM,7:46 PM,7:51 PM
7:36 PM,7:38 PM,7:49 PM,7:53 PM,7:56 PM,8:01 PM
7:46 PM,7:48 PM,7:59 PM,8:03 PM,8:06 PM,8:11 PM
7:56 PM,7:58 PM,8:09 PM,8:13 PM,8:16 PM,8:21 PM
8:06 PM,8:08 PM,8:19 PM,8:23 PM,8:26 PM,8:31 PM
8:16 PM,8:18 PM,8:29 PM,8:33 PM,8:36 PM,8:41 PM
8:26 PM,8:28 PM,8:39 PM,8:43 PM,8:46 PM,8:51 PM
8:36 PM,8:38 PM,8:49 PM,8:53 PM,8:56 PM,9:01 PM
8:46 PM,8:48 PM,8:59 PM,9:03 PM,9:06 PM,9:11 PM
8:56 PM,8:58 PM,9:09 PM,9:13 PM,9:16 PM,9:21 PM
9:06 PM,9:08 PM,9:19 PM,9:23 PM,9:26 PM,9:31 PM
9:16 PM,9:18 PM,9:29 PM,9:33 PM,9:36 PM,9:41 PM
9:30 PM,9:32 PM,9:43 PM,9:47 PM,9:50 PM,9:55 PM
9:45 PM,9:47 PM,9:58 PM,10:02 PM,10:05 PM,10:10 PM
10:00 PM,10:02 PM,10:13 PM,10:17 PM,10:20 PM,10:25 PM
10:15 PM,10:17 PM,10:28 PM,10:32 PM,10:35 PM,10:40 PM
10:30 PM,10:32 PM,10:43 PM,10:47 PM,10:50 PM,10:55 PM
10:45 PM,10:47 PM,10:58 PM,11:02 PM,11:05 PM,11:10 PM
11:20 PM,11:22 PM,11:33 PM,11:37 PM,11:40 PM,11:45 PM
11:55 PM,11:57 PM,12:08 AM,12:12 AM,12:15 AM,12:20 AM
