33 St (Departure),23 St (Departure),14 St (Departure),9 St (Departure),Chris St (Departure),Hoboken (Departure),Newport (Departure),Grove St (Departure),JSQ (Arrival)
4:28 PM,4:30 PM,4:31 PM,4:33 PM,4:34 PM,4:47 PM,4:51 PM,4:55 PM,5:00 PM
4:38 PM,4:40 PM,4:41 PM,4:43 PM,4:44 PM,4:57 PM,5:01 PM,5:05 PM,5:10 PM
4:48 PM,4:50 PM,4:51 PM,4:53 PM,4:54 PM,5:07 PM,5:11 PM,5:15 PM,5:20 PM
4:58 PM,5:00 PM,5:01 PM,5:03 PM,5:04 PM,5:17 PM,5:21 PM,5:25 PM,5:30 PM
5:08 PM,5:10 PM,5:11 PM,5:13 PM,5:14 PM,5:27 PM,5:31 PM,5:35 PM,5:40 PM
5:18 PM,5:20 PM,5:21 PM,5:23 PM,5:24 PM,5:37 PM,5:41 PM,5:45 PM,5:50 PM
5:28 PM,5:30 PM,5:31 PM,5:33 PM,5:34 PM,5:47 PM,5:51 PM,5:55 PM,6:00 PM
5:38 PM,5:40 PM,5:41 PM,5:43 PM,5:44 PM,5:57 PM,6:01 PM,6:05 PM,6:10 PM
5:48 PM,5:50 PM,5:51 PM,5:53 PM,5:54 PM,6:07 PM,6:11 PM,6:15 PM,6:20 PM
5:58 PM,6:00 PM,6:01 PM,6:03 PM,6:04 PM,6:17 PM,6:21 PM,6:25 PM,6:30 PM
6:08 PM,6:10 PM,6:11 PM,6:13 PM,6:14 PM,6:27 PM,6:31 PM,6:35 PM,6:40 PM
6:18 PM,6:20 PM,6:21 PM,6:23 PM,6:24 PM,6:37 PM,6:41 PM,6:45 PM,6:50 PM
6:28 PM,6:30 PM,6:31 PM,6:33 PM,6:34 PM,6:47 PM,6:51 PM,6:55 PM,7:00 PM
6:38 PM,6:40 PM,6:41 PM,6:43 PM,6:44 PM,6:57 PM,7:01 PM,7:05 PM,7:10 PM
6:48 PM,6:50 PM,6:51 PM,6:53 PM,6:54 PM,7:07 PM,7:11 PM,7:15 PM,7:20 PM
6:58 PM,7:00 PM,7:01 PM,7:03 PM,7:04 PM,7:17 PM,7:21 PM,7:25 PM,7:30 PM
7:08 PM,7:10 PM,7:11 PM,7:13 PM,7:14 PM,7:27 PM,7:31 PM,7:35 PM,7:40 PM
7:18 PM,7:20 PM,7:21 PM,7:23 PM,7:24 PM,7:37 PM,7:41 PM,7:45 PM,7:50 PM
7:28 PM,7:30 PM,7:31 PM,7:33 PM,7:34 PM,7:47 PM,7:51 PM,7:55 PM,8:00 PM
7:38 PM,7:40 PM,7:41 PM,7:43 PM,7:44 PM,7:57 PM,8:01 PM,8:05 PM,8:10 PM
7:48 PM,7:50 PM,7:51 PM,7:53 PM,7:54 PM,8:07 PM,8:11 PM,8:15 PM,8:20 PM
7:58 PM,8:00 PM,8:01 PM,8:03 PM,8:04 PM,8:17 PM,8:21 PM,8:25 PM,8:30 PM
8:08 PM,8:10 PM,8:11 PM,8:13 PM,8:14 PM,8:27 PM,8:31 PM,8:35 PM,8:40 PM
8:18 PM,8:20 PM,8:21 PM,8:23 PM,8:24 PM,8:37 PM,8:41 PM,8:45 PM,8:50 PM
8:28 PM,8:30 PM,8:31 PM,8:33 PM,8:34 PM,8:47 PM,8:51 PM,8:55 PM,9:00 PM
8:38 PM,8:40 PM,8:41 PM,8:43 PM,8:44 PM,8:57 PM,9:01 PM,9:05 PM,9:10 PM
8:53 PM,8:55 PM,8:56 PM,8:58 PM,8:59 PM,9:12 PM,9:16 PM,9:20 PM,9:25 PM
9:13 PM,9:15 PM,9:16 PM,9:18 PM,9:19 PM,9:32 PM,9:36 PM,9:40 PM,9:45 PM
9:33 PM,9:35 PM,9:36 PM,9:38 PM,9:39 PM,9:52 PM,9:56 PM,10:00 PM,10:05 PM
9:53 PM,9:55 PM,9:56 PM,9:58 PM,9:59 PM,10:12 PM,10:16 PM,10:20 PM,10:25 PM
10:13 PM,10:15 PM,10:16 PM,10:18 PM,10:19 PM,10:32 PM,10:36 PM,10:40 PM,10:45 PM
10:33 PM,10:35 PM,10:36 PM,10:38 PM,10:39 PM,10:52 PM,10:56 PM,11:00 PM,11:05 PM
10:53 PM,10:55 PM,10:56 PM,10:58 PM,10:59 PM,11:12 PM,11:16 PM,11:20 PM,11:25 PM
11:13 PM,11:15 PM,11:16 PM,11:18 PM,11:19 PM,11:32 PM,11:36 PM,11:40 PM,11:45 PM
11:33 PM,11:35 PM,11:36 PM,11:38 PM,11:39 PM,11:52 PM,11:56 PM,12:00 AM,12:05 AM
11:53 PM,11:55 PM,11:56 PM,11:58 PM,11:59 PM,12:12 AM,12:16 AM,12:20 AM,12:25 AM
