WTC (Departure),Exchange (Departure),Grove St (Departure),JSQ (Departure),Harrison (Departure),Newark (Arrival)
7:24 PM,7:28 PM,7:31 PM,7:35 PM,7:46 PM,7:49 PM
7:34 PM,7:38 PM,7:41 PM,7:45 PM,7:56 PM,7:59 PM
7:44 PM,7:48 PM,7:51 PM,7:55 PM,8:06 PM,8:09 PM
7:54 PM,7:58 PM,8:01 PM,8:05 PM,8:16 PM,8:19 PM
8:04 PM,8:08 PM,8:11 PM,8:15 PM,8:26 PM,8:29 PM
8:14 PM,8:18 PM,8:21 PM,8:25 PM,8:36 PM,8:39 PM
8:24 PM,8:28 PM,8:31 PM,8:35 PM,8:46 PM,8:49 PM
8:34 PM,8:38 PM,8:41 PM,8:45 PM,8:56 PM,8:59 PM
8:44 PM,8:48 PM,8:51 PM,8:55 PM,9:06 PM,9:09 PM
8:54 PM,8:58 PM,9:01 PM,9:05 PM,9:16 PM,9:19 PM
9:04 PM,9:08 PM,9:11 PM,9:15 PM,9:26 PM,9:29 PM
9:14 PM,9:18 PM,9:21 PM,9:25 PM,9:36 PM,9:39 PM
9:24 PM,9:28 PM,9:31 PM,9:35 PM,9:46 PM,9:49 PM
9:34 PM,9:38 PM,9:41 PM,9:45 PM,9:56 PM,9:59 PM
9:45 PM,9:49 PM,9:52 PM,9:56 PM,10:07 PM,10:10 PM
10:00 PM,10:04 PM,10:07 PM,10:11 PM,10:22 PM,10:25 PM
10:15 PM,10:19 PM,10:22 PM,10:26 PM,10:37 PM,10:40 PM
10:30 PM,10:34 PM,10:37 PM,10:41 PM,10:52 PM,10:55 PM
10:45 PM,10:49 PM,10:52 PM,10:56 PM,11:07 PM,11:10 PM
11:00 PM,11:04 PM,11:07 PM,11:11 PM,11:22 PM,11:25 PM
11:20 PM,11:24 PM,11:27 PM,11:31 PM,11:42 PM,11:45 PM
11:55 PM,11:59 PM,12:02 AM,12:06 AM,12:17 AM,12:20 AM
